"remote_allowed","normalized_salary","title_idx_num","state_idx_num","formatted_work_type_idx_num","formatted_experience_level_idx_num"
"0.0","41412.8","0.0","20.0","0.0","1.0"
"1.0","185000.0","0.0","0.0","0.0","0.0"
"0.0","42640.0","0.0","7.0","1.0","0.0"
"0.0","125000.0","0.0","2.0","0.0","0.0"
"0.0","45760.0","0.0","37.0","0.0","1.0"
"0.0","146068.0","0.0","1.0","0.0","0.0"
"0.0","119288.0","0.0","3.0","0.0","0.0"
"0.0","44720.0","0.0","29.0","0.0","1.0"
"0.0","41995.2","0.0","6.0","0.0","1.0"
"0.0","281250.0","0.0","9.0","0.0","4.0"
"0.0","205000.0","0.0","19.0","0.0","2.0"
"0.0","59325.0","0.0","22.0","0.0","1.0"
"0.0","165000.0","0.0","55.0","0.0","4.0"
"0.0","62400.0","0.0","6.0","1.0","0.0"
"0.0","95160.0","0.0","21.0","2.0","1.0"
"0.0","60320.0","0.0","12.0","0.0","1.0"
"0.0","75850.0","0.0","13.0","0.0","0.0"
"0.0","70782.40000000001","203.0","1.0","0.0","2.0"
"0.0","141277.5","0.0","21.0","0.0","6.0"
"0.0","130000.0","0.0","54.0","0.0","2.0"
"0.0","150800.0","1215.0","10.0","1.0","3.0"
"0.0","147500.0","0.0","4.0","0.0","0.0"
"0.0","62500.0","218.0","16.0","0.0","3.0"
"0.0","43680.0","0.0","66.0","0.0","2.0"
"0.0","49129.6","191.0","4.0","1.0","2.0"
"1.0","109200.0","0.0","0.0","1.0","0.0"
"0.0","35000.0","35.0","31.0","0.0","2.0"
"0.0","55000.0","0.0","9.0","0.0","0.0"
"0.0","36608.0","405.0","2.0","2.0","1.0"
"0.0","41600.0","0.0","1.0","0.0","1.0"
"0.0","120640.0","0.0","1.0","0.0","2.0"
"1.0","215000.0","0.0","0.0","0.0","1.0"
"1.0","120300.0","0.0","0.0","0.0","0.0"
"0.0","34320.0","0.0","2.0","2.0","0.0"
"1.0","225000.0","0.0","0.0","0.0","0.0"
"0.0","116400.0","942.0","46.0","2.0","1.0"
"0.0","85000.0","66.0","12.0","0.0","0.0"
"0.0","140000.0","0.0","5.0","0.0","2.0"
"0.0","35360.0","222.0","25.0","1.0","1.0"
"0.0","48599.2","0.0","14.0","0.0","1.0"
"0.0","180000.0","0.0","4.0","0.0","0.0"
"0.0","70000.0","0.0","12.0","0.0","2.0"
"0.0","85000.0","625.0","11.0","0.0","1.0"
"0.0","57241.6","0.0","16.0","0.0","0.0"
"0.0","94837.6","0.0","53.0","2.0","0.0"
"0.0","60320.0","0.0","21.0","0.0","2.0"
"0.0","47000.0","0.0","45.0","0.0","2.0"
"0.0","56979.5","1847.0","16.0","0.0","2.0"
"0.0","55120.0","0.0","1.0","2.0","1.0"
"1.0","147583.0","2618.0","1.0","0.0","0.0"
"0.0","276987.5","0.0","9.0","0.0","2.0"
"0.0","148106.4","1763.0","1.0","0.0","1.0"
"0.0","49920.0","0.0","44.0","0.0","1.0"
"0.0","61360.0","0.0","4.0","2.0","0.0"
"0.0","68307.20000000001","0.0","55.0","0.0","1.0"
"1.0","49920.0","0.0","0.0","1.0","1.0"
"0.0","46800.0","0.0","1.0","2.0","2.0"
"0.0","43680.0","0.0","1.0","0.0","3.0"
"0.0","41600.0","1718.0","19.0","3.0","0.0"
"0.0","170000.0","0.0","34.0","0.0","0.0"
"0.0","140400.0","0.0","4.0","0.0","0.0"
"0.0","63000.0","1831.0","17.0","0.0","2.0"
"0.0","60000.0","930.0","6.0","0.0","3.0"
"0.0","110000.0","1913.0","3.0","0.0","2.0"
"0.0","66851.2","0.0","3.0","0.0","1.0"
"0.0","52000.0","1384.0","26.0","0.0","1.0"
"0.0","125000.0","0.0","3.0","0.0","0.0"
"0.0","72800.0","0.0","8.0","1.0","1.0"
"0.0","43600.0","0.0","33.0","0.0","1.0"
"0.0","38209.6","0.0","17.0","0.0","1.0"
"0.0","50000.0","0.0","4.0","0.0","1.0"
"0.0","114400.0","656.0","2.0","1.0","2.0"
"0.0","140000.0","0.0","12.0","0.0","0.0"
"0.0","133000.0","1351.0","23.0","0.0","2.0"
"0.0","85000.0","2355.0","15.0","0.0","0.0"
"0.0","84240.0","158.0","2.0","1.0","0.0"
"0.0","126034.665","0.0","1.0","0.0","2.0"
"0.0","54080.0","0.0","14.0","0.0","2.0"
"0.0","42993.600000000006","0.0","22.0","0.0","2.0"
"0.0","60780.0","0.0","1.0","0.0","1.0"
"0.0","94000.0","0.0","1.0","0.0","1.0"
